file	date	hour	id_mic	Ecosystem	Composition	Interaction	Structure	Dilution	Replicate	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Tet	Col	Pau	Eug	Daphnia	Tet_meanarea	Col_meanarea	Pau_meanarea	Eug_meanarea	Tet_major	Col_major	Pau_major	Eug_major	Tet_minor	Col_minor	Pau_minor	Eug_minor	Euglena_manual	Eug_manual_per_ul	Daphnia_large_protist	Col_presence	Pau_presence	CD	Bact_per_ul	Mean FSC-A	Mean SSC-A	Oxygen
sample_0027	2015-10-26	10	27	1	Col	C.alone	Consumer	0.33	A	0.048	0.002727273	1.363636364	0.077479339	15.30871212	NA	9.116792929	NA	94.17857143	NA	2.75	NA	1.07	0	0.002727273	0	0	NA	0	28.40909091	0	0	0	15.30871212	0	0	0	9.116792929	0	0	0	0	NA	no	NA	0.002727273	60440	3216.800	3125.120	11.618
sample_0028	2015-10-26	10	28	2	Tet	C.alone	Consumer	0.33	A	1.464	0.083181818	130.5151515	7.415633609	19.1533724	10.67078893	13.12193056	6.71277325	98.09162024	51.70133187	3.456428571	1.832121961	0.973333333	0.083181818	0	0	0	NA	69.58120918	0	0	0	19.1533724	0	0	0	13.12193056	0	0	0	0	0	NA	NA	NA	NA	30680	2467.230	2232.180	12.921
sample_0029	2015-10-26	10	29	1	Col + Eug	Facilitation	Resource	0.33	A	4.632	0.263181818	739.8787879	42.03856749	30.29384575	9.541902599	17.84946739	3.395386476	99.57735399	18.3489552	2.299090909	1.499939393	0.891904762	0	0	0	0.261818182	NA	0	0	0	123.2417182	0	0	0	30.79569314	0	0	0	17.96868205	10	0.568181818	NA	no	NA	0	55420	3153.650	2729.380	11.04
sample_0030	2015-10-26	10	30	2	Bact	Facilitation	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	26380	1915.550	2000.790	13.734
sample_0031	2015-10-26	10	31	1	Col + Eug	Facilitation	Consumer	0.33	A	2.328	0.132272727	330.6060606	18.78443526	29.27535836	6.613982682	17.87586985	2.729436559	174.5331838	165.3504594	5.709166667	7.970645529	0.8	0	0.035909091	0	0.095	NA	0	156.8135137	0	113.2066515	0	35.01663199	0	29.21684354	0	21.28283384	0	17.61619785	4	0.227272727	NA	yes	NA	0	57300	3273.670	3448.440	12.172
sample_0032	2015-10-26	10	32	2	Tet	Facilitation	Consumer	0.33	A	2.104	0.119545455	295	16.76136364	20.88151733	11.59847283	13.80054354	7.144811196	188.7396457	268.1724887	7.654	14.39959891	0.92375	0.119545455	0	0	0	NA	77.90735931	0	0	0	20.88151733	0	0	0	13.80054354	0	0	0	0	0	NA	NA	NA	NA	21300	2202.040	2299.180	13.364
sample_0033	2015-10-26	10	33	1	Col + Daph	Predation	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	no	NA	0	70320	2984.200	4002.080	11.251
sample_0034	2015-10-26	10	34	2	Bact	Predation	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	26060	1863.200	1862.940	12.958
sample_0035	2015-10-26	10	35	1	Col + Daph	Predation	Consumer	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	no	NA	0	53660	3197.800	2898.090	11.343
sample_0036	2015-10-26	10	36	2	Tet	Predation	Consumer	0.33	A	5.32	0.302272727	754.2727273	42.85640496	31.69710037	21.67411816	13.13234929	6.800756156	193.6848862	102.8133167	3.765172414	4.346954287	1.392592593	0.302272727	0	0	0	NA	96.8111718	0	0	0	31.69710037	0	0	0	13.13234929	0	0	0	0	0	NA	NA	NA	NA	18300	2596.250	2587.440	13.217
